Frecuencia  Ruta
------------------------------------------------------------
        98  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/attribute/attr-stmt-expr-attr-bad.rs
        63  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/char_literals.rs
        56  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/default-on-wrong-item-kind.rs
        53  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/byte_char_literals.rs
        30  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-35813-postfix-after-cast.rs
        28  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-const-async-fn-ptr.rs
        28  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/bad-fn-ptr-qualifier.rs
        24  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-66473.rs
        22  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/stmt_expr_attrs_placement.rs
        20  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/else-no-if.rs
        19  /home/socub/U/tesis/rust_repos/rust/tests/ui/did_you_mean/issue-40006.rs
        18  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-missing-semi-before-item.rs
        17  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/strings.rs
        17  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-pat-wildcards.rs
        16  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/byte_strings.rs
        16  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/c_strings.rs
        15  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-range-pats.rs
        15  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/assoc/assoc-static-semantic-fail.rs
        15  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/assoc/assoc-static-syntactic-fail.rs
        14  /home/socub/U/tesis/rust_repos/rust/tests/ui/impl-trait/impl-trait-plus-priority.rs
        14  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/increment-autofix-2.rs
        14  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/utf16-be-without-bom.rs
        14  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/macro/macro-expand-to-field.rs
        14  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-23620-invalid-escapes.rs
        14  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/utf16-le-without-bom.rs
        13  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/label-after-block-like.rs
        13  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-fn-ptr-with-generics.rs
        12  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/bad-if-statements.rs
        12  /home/socub/U/tesis/rust_repos/rust/tests/ui/generics/issue-106694.rs
        12  /home/socub/U/tesis/rust_repos/rust/tests/ui/async-await/await-keyword/incorrect-syntax-suggestions.rs
        12  /home/socub/U/tesis/rust_repos/rust/tests/ui/did_you_mean/issue-54109-and_instead_of_ampersands.rs
        12  /home/socub/U/tesis/rust_repos/rust/tests/ui/did_you_mean/issue-54109-without-witness.rs
        11  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics/min_const_generics/const-expression-suggest-missing-braces.rs
        11  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/bad-char-literals.rs
        10  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/parser/inline/err/meta_recovery.rs
        10  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/ternary_operator.rs
        10  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/kw-in-trait-bounds.rs
        10  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-104867-inc-dec-2.rs
        10  /home/socub/U/tesis/rust_repos/rust/tests/ui/lexer/lex-bad-char-literals-1.rs
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-pat-exprs.rs
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/raw/raw-str-unbalanced.rs
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/proc-macro/auxiliary/api/literal.rs
         8  /home/socub/U/tesis/rust_repos/rust/src/tools/clippy/tests/ui/needless_raw_string_hashes.rs
         8  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_ast_lowering/src/lib.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/impl-trait/precise-capturing/bound-modifiers.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/underscore_item_not_const.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/increment-autofix.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/byte-literals.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/typod-const-in-const-param-def.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/eq-gt-to-gt-eq.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/triple-colon.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/fn-body-eq-expr-semi.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-104867-inc-dec.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/fmt/format-string-error-2.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/rfcs/rfc-2565-param-attrs/attr-without-param.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/did_you_mean/bad-assoc-ty.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/did_you_mean/issue-46836-identifier-not-instead-of-negation.rs
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/inference/str-as-char.rs
         7  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/parser/err/0032_match_arms_inner_attrs.rs
         7  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/ok/keywords.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/pub/pub-restricted.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/self/self_type_keyword.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/cmse-nonsecure/cmse-nonsecure-call/generics.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/missing-dot-on-if-condition-expression.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/block-no-opening-brace.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/raw/raw-string-2.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-108495-dec.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-57819.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-62913.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/const-param-decl-on-type-instead-of-impl.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/label/label_break_value_illegal_uses.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/suggestions/const-no-type.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/expr/if/attrs/else-attrs.rs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/type/type-ascription-precedence.rs
         6  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/syntax/test_data/parser/fuzz-failures/0000.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/structs/struct-fn-in-definition.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/brace-in-let-chain.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/ascii-only-character-escape.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/inverted-parameters.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/match-arm-without-body.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/duplicate-where-clauses.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/label-is-actually-char.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-103381.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-67146-negative-outlives-bound-syntactic-fail.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-68629.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/eq-less-to-less-eq.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/diff-markers/tuple-struct.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/emoji-identifiers.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/semi-in-let-chain.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/generic-associated-types/parse/trait-path-types.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/generic-associated-types/parse/trait-path-segments.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/suggestions/unnamable-types.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/rfcs/rfc-3348-c-string-literals/non-ascii.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/rfcs/rfc-0000-never_patterns/parse.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/did_you_mean/issue-48492-tuple-destructure-missing-parens.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/lexer/lex-bad-char-literals-7.rs
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/lexer/lex-bad-char-literals-5.rs
         5  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/parser/err/0025_nope.rs
         5  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_ast_lowering/src/item.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/higher-ranked/trait-bounds/hrtb-malformed-lifetime-generics.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-enum2.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/missing-dot-on-statement-expression.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-pat-issues.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/missing-dot-on-if-condition-expression-fixable.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/raw/raw-byte-string-literals.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-68730.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-54521-3.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/mut-patterns.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/fn/fn-recover-return-sign.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/enum/nested-enum.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/suggestions/recover-missing-turbofish-surrounding-angle-braket.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/issues/issue-66706.rs
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/did_you_mean/issue-87830-try-brackets-for-arrays.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rustfmt/tests/parser/unclosed-delims/issue_4466.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/parser/inline/err/recover_from_missing_const_default.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unstarted_raw_byte_string_with_ascii.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_byte_string_with_unicode_escape.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_string_with_unicode_escape.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_string_with_ferris.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_byte_string_with_ferris.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_byte_string_with_slash.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_string_with_slash.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_byte_string_with_space.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unstarted_raw_string_with_ascii.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_string_with_ascii_escape.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_byte_string_with_slash_n.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_byte_string_with_ascii_escape.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_byte_string_at_eof.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_string_with_slash_n.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_string_with_space.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err/unclosed_raw_string_at_eof.rs
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/syntax/test_data/parser/fuzz-failures/0001.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/attributes/attrs-with-no-formal-in-generics-2.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics/early/closing-args-token.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/foreign-const-syntactic-fail.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/impl-parsing.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/foreign-const-semantic-fail.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/triple-colon-delegation.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/unicode-character-literal.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/missing-closing-angle-bracket-eq-constraint.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/wrong-escape-of-curly-braces.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/recover-fn-trait-from-fn-kw.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover/binding-name-starting-with-number.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/ident-recovery.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/byte-string-literals.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/attribute/multiple-tail-expr-behind-cfg.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/expr-rarrow-call.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/keyword-type-as-identifier.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/raw/raw-string.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/raw/raw-byte-string-eof.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-70549-resolve-after-recovered-self-ctor.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-67377-invalid-syntax-in-enum-discriminant.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-62895.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-62554.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-13483.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-118530-ice.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-87086-colon-path-sep.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-59418.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-64732.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/diff-markers/unclosed-delims.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/char/whitespace-character-literal.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/pattern/struct-pattern-with-missing-fields-resolve-error.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/traits/const-traits/mutually-exclusive-trait-bound-modifiers.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/generic-associated-types/parse/trait-path-expressions.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/generic-associated-types/parse/trait-path-missing-gen_arg.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/lint/issue-104392.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/suggestions/issue-82566-2.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/suggestions/recover-invalid-float-invalid.rs
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/underscore-imports/issue-110164.rs
