Frecuencia  Ruta
------------------------------------------------------------
         6  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/asyncness.rs
         6  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/parser/test_data/parser/ok/0066_default_modifier.rs
         5  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/issue-4159.rs
         5  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/parser/test_data/parser/inline/ok/gen_blocks.rs
         4  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/parser/unclosed-delims/issue_4466.rs
         4  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/impl.rs
         4  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/parser/test_data/parser/inline/ok/assoc_const_eq.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/configs/spaces_around_ranges/true.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/configs/spaces_around_ranges/false.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/configs/disable_all_formatting/true.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/try-conversion.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/mut_ref.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/unsafe-field.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/issue_1306.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/type.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/configs/spaces_around_ranges/true.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/configs/spaces_around_ranges/false.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/mut_ref.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/unsafe-field.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/issue_1306.rs
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/type.rs
