Frecuencia  Directorio
----------------------------------------------------------------------
        56  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target
        43  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/parser/test_data/parser/inline/ok
        31  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source
        10  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/parser/test_data/parser/ok
        10  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/parser/test_data/lexer/ok
         6  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/configs/spaces_around_ranges
         6  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/configs/spaces_around_ranges
         4  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/parser/unclosed-delims
         4  /home/socub/U/tesis/rust_repos/rust_2/tests/ui/parser/suggest_misplaced_generics
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/configs/disable_all_formatting
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/parser
         3  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/parser/src/syntax_kind
         3  /home/socub/U/tesis/rust_repos/rust_2/tests/ui/impl-trait
         2  /home/socub/U/tesis/rust_repos/rust_2/library/std/src/sys/pal/uefi
         2  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/configs/use_try_shorthand
         2  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/coverage/target
         2  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/parser/issue-4126
         2  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/issue-5151
         2  /home/socub/U/tesis/rust_repos/rust_2/tests/ui/force-inlining
         1  /home/socub/U/tesis/rust_repos/rust_2/library/alloc/src/collections/btree
         1  /home/socub/U/tesis/rust_repos/rust_2/library/portable-simd/crates/core_simd/src
         1  /home/socub/U/tesis/rust_repos/rust_2/library/core/src
         1  /home/socub/U/tesis/rust_repos/rust_2/library/core/src/sync
         1  /home/socub/U/tesis/rust_repos/rust_2/library/core/src/char
         1  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/configs/indent_style
         1  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/source/postfix-match
         1  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/configs/indent_style
         1  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/configs/use_try_shorthand
         1  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rustfmt/tests/target/postfix-match
         1  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/hir-expand/src/builtin
         1  /home/socub/U/tesis/rust_repos/rust_2/src/tools/rust-analyzer/crates/intern/src/symbol
         1  /home/socub/U/tesis/rust_repos/rust_2/tests/ui/impl-trait/in-trait
         1  /home/socub/U/tesis/rust_repos/rust_2/tests/ui/parser/diff-markers
