Frecuencia  Directorio
----------------------------------------------------------------------
       770  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser
       380  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues
       168  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/recover
       116  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/attribute
       113  /home/socub/U/tesis/rust_repos/rust/tests/ui/delegation
        92  /home/socub/U/tesis/rust_repos/rust/tests/ui/did_you_mean
        85  /home/socub/U/tesis/rust_repos/rust/tests/ui/lexer
        78  /home/socub/U/tesis/rust_repos/rust/tests/ui/traits/object
        77  /home/socub/U/tesis/rust_repos/rust/tests/ui/traits/const-traits
        75  /home/socub/U/tesis/rust_repos/rust/tests/ui/suggestions
        70  /home/socub/U/tesis/rust_repos/rust/tests/ui/editions
        51  /home/socub/U/tesis/rust_repos/rust/tests/ui/rfcs/rfc-0000-never_patterns
        42  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/raw
        42  /home/socub/U/tesis/rust_repos/rust/tests/ui/async-await/await-keyword
        35  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/misspelled-keywords
        33  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/assoc
        30  /home/socub/U/tesis/rust_repos/rust/tests/ui/generic-associated-types
        26  /home/socub/U/tesis/rust_repos/rust/tests/ui/issues
        25  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/diff-markers
        24  /home/socub/U/tesis/rust_repos/rust/tests/ui/pattern
        24  /home/socub/U/tesis/rust_repos/rust/tests/ui/unsafe-binders
        22  /home/socub/U/tesis/rust_repos/rust/src/tools/miri/tests/fail/both_borrows
        22  /home/socub/U/tesis/rust_repos/rust/tests/ui/pub
        22  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/removed-syntax
        22  /home/socub/U/tesis/rust_repos/rust/tests/crashes
        21  /home/socub/U/tesis/rust_repos/rust/tests/ui/generic-associated-types/parse
        21  /home/socub/U/tesis/rust_repos/rust/tests/ui/generics
        21  /home/socub/U/tesis/rust_repos/rust/tests/ui/async-await
        20  /home/socub/U/tesis/rust_repos/rust/src/tools/rustfmt/tests/target
        20  /home/socub/U/tesis/rust_repos/rust/tests/ui/delegation/generics
        20  /home/socub/U/tesis/rust_repos/rust/tests/ui/typeck
        19  /home/socub/U/tesis/rust_repos/rust/tests/ui/type
        18  /home/socub/U/tesis/rust_repos/rust/tests/ui/impl-trait
        18  /home/socub/U/tesis/rust_repos/rust/tests/ui/rust-2018
        17  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/lexer/err
        17  /home/socub/U/tesis/rust_repos/rust/tests/ui/async-await/async-fn
        16  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/syntax/test_data/parser/fuzz-failures
        16  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/macro
        15  /home/socub/U/tesis/rust_repos/rust/tests/ui/attributes
        15  /home/socub/U/tesis/rust_repos/rust/tests/ui/generic-const-items
        15  /home/socub/U/tesis/rust_repos/rust/tests/ui/dyn-keyword
        14  /home/socub/U/tesis/rust_repos/rust/tests/ui/half-open-range-patterns
        14  /home/socub/U/tesis/rust_repos/rust/tests/ui/impl-trait/precise-capturing
        13  /home/socub/U/tesis/rust_repos/rust/tests/ui/resolve
        13  /home/socub/U/tesis/rust_repos/rust/tests/ui/structs
        12  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics/generic_arg_infer
        12  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/suggest_misplaced_generics
        12  /home/socub/U/tesis/rust_repos/rust/tests/ui/lint
        11  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics/min_const_generics
        11  /home/socub/U/tesis/rust_repos/rust/tests/ui/structs/default-field-values
        11  /home/socub/U/tesis/rust_repos/rust/tests/ui/inference
        10  /home/socub/U/tesis/rust_repos/rust/src/tools/clippy/tests/ui
        10  /home/socub/U/tesis/rust_repos/rust/tests/ui/or-patterns
        10  /home/socub/U/tesis/rust_repos/rust/tests/ui/feature-gates
        10  /home/socub/U/tesis/rust_repos/rust/tests/ui/fn
        10  /home/socub/U/tesis/rust_repos/rust/tests/ui/pattern/usefulness/integer-ranges
         9  /home/socub/U/tesis/rust_repos/rust/src/tools/rustfmt/tests/source
         9  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/syntax/test_data/reparse/fuzz-failures
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/self
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/array-slice-vec
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/label
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/fmt
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/proc-macro/auxiliary/api
         9  /home/socub/U/tesis/rust_repos/rust/tests/ui/rfcs/rfc-3348-c-string-literals
         8  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_errors/src/markdown
         8  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_middle/src/ty
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/macros
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/where-clauses
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/shebang
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/issue-87217-keyword-order
         8  /home/socub/U/tesis/rust_repos/rust/tests/ui/rfcs/rfc-2565-param-attrs
         8  /home/socub/U/tesis/rust_repos/rust/tests/rustdoc
         7  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_type_ir/src
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/typeof
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/cmse-nonsecure/cmse-nonsecure-call
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/contracts/internal_machinery
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics/parser-error-recovery
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/expr/if/attrs
         7  /home/socub/U/tesis/rust_repos/rust/tests/ui/let-else
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/associated-type-bounds
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/error-codes
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/json
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/type/ascription
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/unpretty
         6  /home/socub/U/tesis/rust_repos/rust/tests/ui/proc-macro
         5  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/parser/err
         5  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/syntax/test_data/parser/validation
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/higher-ranked/trait-bounds
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/span
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/repeat-expr
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics/early
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/enum
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/expr/malformed_closure
         5  /home/socub/U/tesis/rust_repos/rust/tests/ui/auto-traits
         4  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/syntax/src/ast
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/range
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/lazy-type-alias
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/imports
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/char
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/pattern/bindings-after-at
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/str
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/lint/keyword-idents/auxiliary
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/underscore-imports
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/keyword/extern
         4  /home/socub/U/tesis/rust_repos/rust/tests/ui/consts/const-extern-fn
         4  /home/socub/U/tesis/rust_repos/rust/tests/run-make/remap-path-prefix
         4  /home/socub/U/tesis/rust_repos/rust/tests/rustdoc-json
         3  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_codegen_llvm/src
         3  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_codegen_gcc/src/intrinsic
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/extern
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/trait-bounds
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/try-block
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/associated-types
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/closures
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics/generic_const_parameter_types
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/mismatched-braces
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/consts
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/consts/const-eval
         3  /home/socub/U/tesis/rust_repos/rust/tests/ui/use
         3  /home/socub/U/tesis/rust_repos/rust/tests/pretty
         3  /home/socub/U/tesis/rust_repos/rust/tests/mir-opt/building/match
         2  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/parser/test_data/parser/inline/ok
         2  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_incremental/src/persist
         2  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_ty_utils/src
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/codemap_tests
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/macros/auxiliary
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/rust-2024
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/rust-2024/unsafe-extern-blocks
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/functions-closures
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/unsafe-fields
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/static
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/sized
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/structs-enums
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/missing
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/never_type
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/match
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/traits/const-traits/auxiliary
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/expr/if
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/tuple/tuple-struct-fields
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/type/pattern_types
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/track-diagnostics
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/lifetimes
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/rfcs/rfc-2497-if-let-chains
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/transmutability
         2  /home/socub/U/tesis/rust_repos/rust/tests/ui/moves
         2  /home/socub/U/tesis/rust_repos/rust/tests/rustdoc-ui/doctest
         2  /home/socub/U/tesis/rust_repos/rust/tests/rustdoc-ui/issues
         2  /home/socub/U/tesis/rust_repos/rust/tests/run-make/translation
         2  /home/socub/U/tesis/rust_repos/rust/tests/rustdoc/auxiliary
         1  /home/socub/U/tesis/rust_repos/rust/src/tools/rustfmt/tests/parser
         1  /home/socub/U/tesis/rust_repos/rust/src/tools/rust-analyzer/crates/hir-ty/src
         1  /home/socub/U/tesis/rust_repos/rust/src/tools/clippy/tests/ui/crashes
         1  /home/socub/U/tesis/rust_repos/rust/src/tools/clippy/tests/ui/syntax-error-recovery
         1  /home/socub/U/tesis/rust_repos/rust/compiler/rustc_abi/src
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/infinite
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/associated-type-bounds/return-type-notation
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/loops
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/higher-ranked
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/mismatched_types
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/single-use-lifetime
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/mir
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/obsolete-in-place
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/for
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/attributes/unsafe
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/impl-trait/issues
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/unboxed-closures
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/unsafe-fields/auxiliary
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/borrowck
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/c-variadic
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/closures/binder
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/dyn-compatibility
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/imports/issue-45829
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/associated-consts
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/const-generics/issues
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/parser/issues/auxiliary
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/reserved
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/pattern/usefulness
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/traits
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/rustdoc
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/keyword
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/while
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/regions
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/unsafe
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/lifetimes/raw
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/malformed
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/async-await/in-trait
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/async-await/issues
         1  /home/socub/U/tesis/rust_repos/rust/tests/ui/destructuring-assignment
         1  /home/socub/U/tesis/rust_repos/rust/tests/rustdoc-ui
