Frecuencia  Ruta
------------------------------------------------------------
        85  /home/socub/U/tesis/rust_repos/rust_foo/atomic.rs
        33  /home/socub/U/tesis/rust_repos/rust_foo/search.rs
        23  /home/socub/U/tesis/rust_repos/rust_foo/analysis.rs
        22  /home/socub/U/tesis/rust_repos/rust_foo/minicore.rs
        19  /home/socub/U/tesis/rust_repos/rust_foo/unsafe_attributes.rs
        14  /home/socub/U/tesis/rust_repos/rust_foo/method_resolution.rs
        11  /home/socub/U/tesis/rust_repos/rust_foo/vec.rs
        10  /home/socub/U/tesis/rust_repos/rust_foo/boxed.rs
         9  /home/socub/U/tesis/rust_repos/rust_foo/eval.rs
         9  /home/socub/U/tesis/rust_repos/rust_foo/internal_macros.rs
         7  /home/socub/U/tesis/rust_repos/rust_foo/closure.rs
         6  /home/socub/U/tesis/rust_repos/rust_foo/pin.rs
         5  /home/socub/U/tesis/rust_repos/rust_foo/gen_blocks.rs
         5  /home/socub/U/tesis/rust_repos/rust_foo/iter.rs
         5  /home/socub/U/tesis/rust_repos/rust_foo/expr.rs
         4  /home/socub/U/tesis/rust_repos/rust_foo/unwind_safe.rs
         4  /home/socub/U/tesis/rust_repos/rust_foo/assoc_const_eq.rs
         4  /home/socub/U/tesis/rust_repos/rust_foo/issue_4466.rs
         4  /home/socub/U/tesis/rust_repos/rust_foo/lower.rs
         3  /home/socub/U/tesis/rust_repos/rust_foo/unsafe_check.rs
         3  /home/socub/U/tesis/rust_repos/rust_foo/rc.rs
         3  /home/socub/U/tesis/rust_repos/rust_foo/generic_arg_bounds.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/comment.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/invalid.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/const_trait_bound.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/yeet_expr.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/stashed-diag2.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/const_param_default_path.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/helpers.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/generated.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/windows7.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/comments.rs
         2  /home/socub/U/tesis/rust_repos/rust_foo/0068_item_modifiers.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/ref_expr.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/box_pat.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/become_expr.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/0055_dot_dot_dot.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/ident.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/const_closure.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/join.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/whitespace.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/dyn_trait_type_weak.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/hello.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/issue_4418.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/raw_ident.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/lifetimes.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/future.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/convert.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/symbols.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/field_expr.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/0030_string_suffixes.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/chars.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/marker.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/numbers.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/issue-945.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/guarded_str_prefix_edition_2021.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/raw_strings.rs
         1  /home/socub/U/tesis/rust_repos/rust_foo/guard_patterns.rs
